"biopsysite","WholeGenomeDoubling"," 1p"," 1q"," 2p"," 2q"," 3p"," 3q"," 4p"," 4q"," 5p"," 5q"," 6p"," 6q"," 7p"," 7q"," 8p"," 8q"," 9p"," 9q","10p","10q","11p","11q","12p","12q","13q","14q","15q","16p","16q","17p","17q","18p","18q","19p","19q","20p","20q","21q","22q"
"Hartwig Liver","No",2.0128324,2.021667,2.021629,1.9925602,2.0110972,1.9877636,1.9675357,1.9422858,1.9731369,1.5439219,2.0461341,2.0313528,3.1032359,2.4226403,1.3269282,3.8057499,2.976562,3.0059185,2.0089555,2.0183358,1.9255558,1.8968367,2.0214398,2.0060112,2.6562399,1.6318328,2.0352902,1.5059168,1.4992226,2.0466664,1.9987191,1.0106171,0.9917139,2.0157371,1.9162597,2.9867357,2.567549,1.9348826,1.4904172
"Hartwig Liver","Yes",3.044628,3.943406,3.671533,3.646893,4.054257,3.369016,2.947061,2.930592,3.783582,2.537954,4.046075,3.965723,5.26244,2.965712,1.9603,6.724591,2.968808,3.978133,3.0251,3.017074,3.846629,2.912905,3.041085,3.02787,6.26722,2.016718,3.022137,3.220696,4.033395,2.157395,3.036982,2.028906,1.992576,3.37584,2.947487,4.976115,9.441963,2.363032,3.003957
"Hartwig Liver","Yes",2.664746,2.648048,2.461269,2.536144,3.255591,3.225062,1.599507,1.58925,3.107998,2.398039,3.083084,2.97285,3.380158,3.341753,1.262982,2.883307,2.788944,3.312883,3.136651,3.070231,2.578994,2.475574,3.43939,2.650985,3.958433,2.017457,2.217601,4.854672,3.494557,2.524182,2.288154,1.723847,1.510756,2.189487,2.114513,2.723401,4.5987,2.449725,2.532229
"Hartwig Liver","No",1.3906371,1.9879826,1.9962219,1.9860475,2.3111276,1.9672729,1.9811424,1.9494556,1.9819458,1.9877512,1.9953908,1.9691675,2.798887,1.989293,1.1397368,1.9800239,1.9882956,1.9821236,1.9868294,2.3914084,2.0019454,1.0634268,2.1657521,1.9787662,1.9673348,1.9748467,1.7668978,1.9691913,1.9748361,0.9903,2.0196181,1.8801429,0.9807824,1.9656,1.9255166,2.2814957,3.4096989,1.9350675,1.1074988
"Hartwig Liver","Yes",2.677602,3.353526,3.022264,2.681585,2.022199,3.939873,1.83116,2.408141,4.498221,2.194355,2.640691,2.33282,4.02206,3.045247,1.950754,5.336645,4.011772,2.055704,2.974129,3.022907,3.073069,3.91232,2.928994,4.031107,3.877705,2.978789,2.050093,3.032189,2.984489,2.079918,3.494206,2.983059,2.096353,1.97971,2.941465,2.06794,4.060537,2.032238,1.838943
"Hartwig Liver","Yes",3.061215,4.974104,4.86418,4.847994,3.741669,5.85575,2.958401,2.915471,4.7408,4.848568,4.048256,3.916259,5.84442,5.798792,2.646383,6.72326,5.400935,5.34898,3.971399,3.809542,3.92938,3.914628,4.96327,4.920958,8.695402,3.966716,3.788944,4.0188,3.911738,3.130805,5.509659,5.953199,2.212054,3.8581,3.78084,2.271335,5.42255,3.840491,4.013116
"Hartwig Liver","Yes",3.677033,3.915222,3.991825,3.98303,2.972378,2.985987,3.398563,2.9341,3.826635,2.989374,4.881052,4.691161,2.99802,3.654239,2.21451,5.826886,2.9854,2.782087,3.938308,3.965759,3.912842,3.094834,4.00762,3.955028,7.3609,2.932856,4.616559,2.998093,2.96278,2.017616,3.020338,1.991833,1.74672,2.967318,2.871443,2.861026,5.841076,2.876885,1.983993
"Hartwig Liver","Yes",3.090298,3.122357,4.991433,4.000871,2.773715,3.390575,2.505805,3.045972,5.59867,3.600718,4.603991,3.661085,5.872718,5.303875,2.261285,6.740301,3.48928,5.706559,4.628994,3.30033,3.412797,2.981144,5.472842,4.336778,6.702791,3.017636,4.005111,3.807206,3.340123,3.914421,3.903632,3.527925,3.339096,2.896873,4.198492,6.01123,6.790813,3.582775,3.850694
"Hartwig Liver","No",1.0407233,1.9943146,2.028071,2.0851428,1.7864013,1.9753895,1.9563048,1.9000097,2.001256,1.8013426,1.9134252,1.8908439,2.1317806,2.4672742,1.0117,1.9216642,1.978666,2.0010556,1.9516359,1.9999419,2.250234,2.0151337,2.0515971,1.8656929,2.6741144,1.9197229,2.0798727,2.8012094,2.0854563,1.1694346,2.0246861,1.0205166,0.9936177,1.9535978,1.9244389,1.9360583,3.8879805,1.0056514,1.2421748
"Hartwig Liver","No",1.7695973,1.995915,1.9723683,1.9575715,1.9424105,1.9364581,0.9879,1.9064922,1.8875664,1.9568268,2.1006236,1.9339162,2.978246,2.8784676,1.4267272,2.5151985,2.9618152,2.8895408,2.9864362,2.5731821,1.8909006,1.947469,2.0055679,1.9698747,1.9308565,1.9692007,2.0154208,1.9980924,1.9745836,1.0475,2.0235301,1.0626408,0.9858847,1.9801648,1.854849,2.0010475,1.9796581,1.927404,1.954388
"Hartwig Liver","Yes",2.039872,2.056188,2.998951,3.230898,2.032255,2.710592,1.998766,1.985835,2.164879,2.163702,3.027573,2.993699,3.828928,3.886639,2.097861,2.116825,2.073624,2.068686,3.0396,2.644462,3.508656,3.422,3.008363,2.925213,4.601787,3.08058,3.941527,2.423078,2.277362,1.96711,3.969105,1.942183,1.962907,1.921176,1.852687,3.830159,4.473936,2.642511,2.89624
