sampleid;WGD
TCGA-90-A59Q;Yes
TCGA-91-6828;Yes
TCGA-91-6831;Yes
TCGA-91-6836;Yes
TCGA-91-6847;Yes
TCGA-91-6848;Yes
TCGA-91-7771;Yes
TCGA-93-8067;Yes
TCGA-94-7557;Yes
TCGA-94-7943;Yes
TCGA-95-7039;Yes
TCGA-95-7043;Yes
TCGA-95-7562;Yes
TCGA-95-8494;Yes
TCGA-95-A4VN;Yes
TCGA-97-7547;Yes
TCGA-97-7554;Yes
TCGA-97-8172;Yes
TCGA-97-8174;Yes
TCGA-97-8177;Yes
TCGA-97-8552;Yes
TCGA-97-A4M0;Yes
TCGA-98-8020;Yes
TCGA-98-8021;Yes
TCGA-98-8022;Yes
TCGA-98-A539;Yes
TCGA-98-A53B;Yes
TCGA-98-A53J;Yes
TCGA-99-8025;Yes
TCGA-99-8032;Yes
TCGA-99-8033;Yes
TCGA-GN-A8LK;Yes
TCGA-J1-A4AH;Yes
TCGA-J2-8194;Yes
TCGA-L3-A524;Yes
TCGA-L9-A443;Yes
TCGA-L9-A743;Yes
TCGA-L9-A7SV;Yes
TCGA-LA-A446;Yes
TCGA-MF-A522;Yes
TCGA-MN-A4N1;Yes
TCGA-MN-A4N4;Yes
TCGA-MN-A4N5;Yes
TCGA-MP-A4SV;Yes
TCGA-MP-A4T2;Yes
TCGA-MP-A4T7;Yes
TCGA-MP-A4T8;Yes
TCGA-MP-A4TE;Yes
TCGA-MP-A4TF;Yes
TCGA-NC-A5HG;Yes
TCGA-NC-A5HN;Yes
TCGA-NC-A5HP;Yes
TCGA-NJ-A4YF;Yes
TCGA-NJ-A4YI;Yes
TCGA-NJ-A4YP;Yes
TCGA-NJ-A55R;Yes
TCGA-NJ-A7XG;Yes
TCGA-NK-A5CR;Yes
TCGA-NK-A5CX;Yes
TCGA-O1-A52J;Yes
TCGA-O2-A52N;Yes
TCGA-O2-A52W;Yes
TCGA-OD-A75X;Yes
TCGA-W3-A825;Yes
TCGA-YD-A9TA;Yes
