"chromosome","start","stop","CPCT02010474T","CPCT02010666T","CPCT02020293T","CPCT02020695T","CPCT02040091T","CPCT02040102T","CPCT02040188T","CPCT02040226T","CPCT02040264T","CPCT02050184T","CPCT02060259T","CPCT02070232T","CPCT02080084T","CPCT02160038T","CPCT02190007T","CPCT02210007T","CPCT02210064T","CPCT02220009T","CPCT02330036T","CPCT02330043T","CPCT02330055T","CPCT02380015T","CPCT02380016T","DRUP01010049T","DRUP01050025T","DRUP01050031T","DRUP01330008T"
"3",64000001,65000000,"2.93590000","1.99830000","1.18844914","2.03820000","1.99910000"," 5.47900000","3.97080000"," 3.00980000","2.02960000"," 5.11850000","3.02730000"," 4.15810000"," 3.78410000","2.99690000","1.98840000"," 2.00610000"," 2.04650000","3.98890000"," 5.15520000"," 2.360500000","2.00890000","2.03370000"," 3.78570000"," 2.060700000"," 5.95899166"," 5.82178186"," 2.073800000"
"3",65000001,66000000,"2.93590000","1.99316084","2.01810000","2.03820000","1.99910000"," 5.47900000","3.97080000"," 3.00980000","2.88692302"," 5.11850000","3.02730000"," 4.14077808"," 3.78410000","2.99690000","1.94767813"," 2.00610000"," 2.04650000","3.98890000"," 5.15520000"," 2.360500000","2.00890000","2.03370000"," 3.78570000"," 2.060700000"," 5.74840000"," 5.60550000"," 2.073800000"
"3",66000001,67000000,"2.93590000","1.98400000","2.01810000","2.03820000","1.99910000"," 5.47900000","3.97080000"," 3.00980000","4.02650000"," 5.11850000","3.02730000"," 4.04370000"," 3.78410000","2.99690000","1.96020000"," 2.00610000"," 2.04650000","3.98890000"," 5.15520000"," 2.360500000","2.00890000","2.03370000"," 3.78570000"," 2.060700000"," 5.74840000"," 5.60550000"," 2.073800000"
"3",67000001,68000000,"2.93590000","1.98400000","1.55329724","2.03370731","1.99910000"," 5.47900000","3.97080000"," 3.00980000","4.02650000"," 5.58947643","3.02730000"," 4.04370000"," 3.78410000","2.99690000","1.96020000"," 2.00610000"," 2.04650000","3.98890000"," 5.15520000"," 2.360500000","2.00890000","2.03370000"," 3.78570000"," 2.060700000"," 5.99300948"," 6.06942513"," 2.033266461"
"3",68000001,69000000,"2.93590000","1.98400000","1.83982429","2.01870000","1.99910000"," 5.47900000","3.97080000"," 3.00980000","4.02650000"," 5.86670000","3.02730000"," 4.04370000"," 3.78410000","2.99690000","1.96020000"," 2.00610000"," 2.04650000","3.98890000"," 5.15520000"," 2.360500000","2.00890000","2.85258873"," 3.78570000"," 2.060700000"," 6.13700000"," 6.34250000"," 2.028600000"
"3",69000001,70000000,"2.93590000","1.98400000","2.01520000","2.01870000","1.99910000"," 5.47900000","3.97080000"," 3.00980000","4.02650000"," 5.86670000","3.02730000"," 4.04370000"," 3.78410000","2.99690000","1.96020000"," 2.00610000"," 2.04650000","3.98890000"," 5.15520000"," 2.360500000","2.00890000","3.01308337"," 3.78570000"," 2.060700000"," 6.13700000"," 6.34250000"," 2.028600000"
"3",70000001,71000000,"2.93590000","1.98400000","2.01520000","2.01870000","1.99910000"," 5.47900000","3.97080000"," 3.00980000","4.02650000"," 5.86670000","3.02730000"," 4.04370000"," 3.78410000","2.99690000","1.96020000"," 2.00610000"," 2.04650000","3.98890000"," 5.15520000"," 2.360500000","2.00890000","3.01770000"," 3.78750428"," 2.060700000"," 6.13700000"," 6.34250000"," 2.028600000"
"3",71000001,72000000,"2.93590000","1.98400000","2.01520000","2.01870000","1.99910000"," 5.47900000","3.97080000"," 3.00980000","4.02650000"," 5.86670000","3.02730000"," 4.04370000"," 3.78410000","2.99690000","1.96020000"," 2.00610000"," 2.04650000","3.98890000"," 5.15520000"," 2.360500000","2.00890000","3.01770000"," 3.78990000"," 2.060700000"," 6.13700000"," 6.34250000"," 2.028600000"
"3",72000001,73000000,"2.93590000","1.98400000","2.01520000","2.01870000","1.99910000"," 5.47900000","3.94514415"," 2.99211699","4.02650000"," 5.86670000","3.02730000"," 4.04370000"," 3.78410000","2.99690000","1.96020000"," 2.00610000"," 2.04650000","3.98890000"," 5.15520000"," 2.360500000","2.00890000","3.01770000"," 3.78990000"," 2.060700000"," 6.13700000"," 6.14904414"," 2.028600000"
"3",73000001,74000000,"2.93590000","1.98400000","2.01520000","2.01870000","1.99910000"," 5.47900000","3.92860000"," 2.95510000","4.02650000"," 5.86670000","3.02730000"," 4.04370000"," 3.78410000","2.99690000","1.96020000"," 2.00610000"," 2.04650000","3.98890000"," 5.15520000"," 2.360500000","2.00890000","3.01770000"," 3.78990000"," 2.060700000"," 6.13700000"," 6.02720000"," 2.028600000"
"3",74000001,75000000,"2.93590000","1.98400000","1.90755919","2.01870000","1.99910000"," 5.47456489","3.92860000"," 2.95510000","4.02650000"," 5.86670000","2.28903117"," 4.04370000"," 3.75731355","2.99690000","1.96020000"," 2.00610000"," 2.04650000","3.98890000"," 5.15520000"," 2.360500000","2.00890000","2.46490979"," 3.78990000"," 2.060700000"," 6.13700000"," 6.02720000"," 2.028600000"
"3",75000001,76000000,"2.93590000","1.98400000","1.94090000","2.01870000","1.99910000"," 5.31950000","3.92860000"," 2.95510000","4.02650000"," 5.86670000","2.18285167"," 4.04370000"," 3.68630000","2.99690000","1.96020000"," 2.00610000"," 2.04650000","3.98890000"," 5.15520000"," 2.360500000","2.00890000","1.94040000"," 3.63416088"," 2.060700000"," 6.13700000"," 6.02720000"," 2.028600000"
"3",76000001,77000000,"2.93590000","1.98400000","1.94090000","1.98308108","1.99910000"," 5.31950000","3.92860000"," 2.95510000","4.00433526"," 5.86670000","2.95180000"," 4.04370000"," 3.68630000","2.99690000","1.96020000"," 2.00610000"," 2.00665027","3.98890000"," 5.15520000"," 2.364376141","2.00890000","1.94040000"," 3.62200000"," 2.060700000"," 6.13700000"," 6.02720000"," 2.016461548"
